"","GEO.id","GEO.id2","GEO.display-label","HC01_EST_VC02","HC01_MOE_VC02","HC02_EST_VC02","HC02_MOE_VC02","HC01_EST_VC04","HC01_MOE_VC04","HC02_EST_VC04","HC02_MOE_VC04","HC01_EST_VC05","HC01_MOE_VC05","HC02_EST_VC05","HC02_MOE_VC05","HC01_EST_VC06","HC01_MOE_VC06","HC02_EST_VC06","HC02_MOE_VC06","HC01_EST_VC07","HC01_MOE_VC07","HC02_EST_VC07","HC02_MOE_VC07","HC01_EST_VC08","HC01_MOE_VC08","HC02_EST_VC08","HC02_MOE_VC08","HC01_EST_VC09","HC01_MOE_VC09","HC02_EST_VC09","HC02_MOE_VC09","HC01_EST_VC10","HC01_MOE_VC10","HC02_EST_VC10","HC02_MOE_VC10","HC01_EST_VC12","HC01_MOE_VC12","HC02_EST_VC12","HC02_MOE_VC12","HC01_EST_VC13","HC01_MOE_VC13","HC02_EST_VC13","HC02_MOE_VC13","HC01_EST_VC16","HC01_MOE_VC16","HC02_EST_VC16","HC02_MOE_VC16","HC01_EST_VC17","HC01_MOE_VC17","HC02_EST_VC17","HC02_MOE_VC17","HC01_EST_VC18","HC01_MOE_VC18","HC02_EST_VC18","HC02_MOE_VC18","HC01_EST_VC19","HC01_MOE_VC19","HC02_EST_VC19","HC02_MOE_VC19","HC01_EST_VC22","HC01_MOE_VC22","HC02_EST_VC22","HC02_MOE_VC22","HC01_EST_VC23","HC01_MOE_VC23","HC02_EST_VC23","HC02_MOE_VC23","HC01_EST_VC24","HC01_MOE_VC24","HC02_EST_VC24","HC02_MOE_VC24","HC01_EST_VC25","HC01_MOE_VC25","HC02_EST_VC25","HC02_MOE_VC25","HC01_EST_VC26","HC01_MOE_VC26","HC02_EST_VC26","HC02_MOE_VC26","HC01_EST_VC27","HC01_MOE_VC27","HC02_EST_VC27","HC02_MOE_VC27","HC01_EST_VC30","HC01_MOE_VC30","HC02_EST_VC30","HC02_MOE_VC30","HC01_EST_VC31","HC01_MOE_VC31","HC02_EST_VC31","HC02_MOE_VC31","HC01_EST_VC32","HC01_MOE_VC32","HC02_EST_VC32","HC02_MOE_VC32","HC01_EST_VC33","HC01_MOE_VC33","HC02_EST_VC33","HC02_MOE_VC33","HC01_EST_VC34","HC01_MOE_VC34","HC02_EST_VC34","HC02_MOE_VC34","HC01_EST_VC35","HC01_MOE_VC35","HC02_EST_VC35","HC02_MOE_VC35","HC01_EST_VC36","HC01_MOE_VC36","HC02_EST_VC36","HC02_MOE_VC36","HC01_EST_VC39","HC01_MOE_VC39","HC02_EST_VC39","HC02_MOE_VC39","HC01_EST_VC40","HC01_MOE_VC40","HC02_EST_VC40","HC02_MOE_VC40","HC01_EST_VC41","HC01_MOE_VC41","HC02_EST_VC41","HC02_MOE_VC41"
"1","Id","Id2","Geography","Total; Estimate; Households","Total; Margin of Error; Households","Median income (dollars); Estimate; Households","Median income (dollars); Margin of Error; Households","Total; Estimate; Households - One race-- - White","Total; Margin of Error; Households - One race-- - White","Median income (dollars); Estimate; Households - One race-- - White","Median income (dollars); Margin of Error; Households - One race-- - White","Total; Estimate; Households - One race-- - Black or African American","Total; Margin of Error; Households - One race-- - Black or African American","Median income (dollars); Estimate; Households - One race-- - Black or African American","Median income (dollars); Margin of Error; Households - One race-- - Black or African American","Total; Estimate; Households - One race-- - American Indian and Alaska Native","Total; Margin of Error; Households - One race-- - American Indian and Alaska Native","Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native","Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native","Total; Estimate; Households - One race-- - Asian","Total; Margin of Error; Households - One race-- - Asian","Median income (dollars); Estimate; Households - One race-- - Asian","Median income (dollars); Margin of Error; Households - One race-- - Asian","Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander","Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander","Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander","Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander","Total; Estimate; Households - One race-- - Some other race","Total; Margin of Error; Households - One race-- - Some other race","Median income (dollars); Estimate; Households - One race-- - Some other race","Median income (dollars); Margin of Error; Households - One race-- - Some other race","Total; Estimate; Households - Two or more races","Total; Margin of Error; Households - Two or more races","Median income (dollars); Estimate; Households - Two or more races","Median income (dollars); Margin of Error; Households - Two or more races","Total; Estimate; Hispanic or Latino origin (of any race)","Total; Margin of Error; Hispanic or Latino origin (of any race)","Median income (dollars); Estimate; Hispanic or Latino origin (of any race)","Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race)","Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino","Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years","Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years","Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years","Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years","Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years","Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years","Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years","Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years","Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years","Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years","Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years","Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years","Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over","Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over","Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over","Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over","Total; Estimate; FAMILIES - Families","Total; Margin of Error; FAMILIES - Families","Median income (dollars); Estimate; FAMILIES - Families","Median income (dollars); Margin of Error; FAMILIES - Families","Total; Estimate; FAMILIES - Families - With own children of householder under 18 years","Total; Margin of Error; FAMILIES - Families - With own children of householder under 18 years","Median income (dollars); Estimate; FAMILIES - Families - With own children of householder under 18 years","Median income (dollars); Margin of Error; FAMILIES - Families - With own children of householder under 18 years","Total; Estimate; FAMILIES - Families - With no own children of householder under 18 years","Total; Margin of Error; FAMILIES - Families - With no own children of householder under 18 years","Median income (dollars); Estimate; FAMILIES - Families - With no own children of householder under 18 years","Median income (dollars); Margin of Error; FAMILIES - Families - With no own children of householder under 18 years","Total; Estimate; FAMILIES - Families - Married-couple families","Total; Margin of Error; FAMILIES - Families - Married-couple families","Median income (dollars); Estimate; FAMILIES - Families - Married-couple families","Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families","Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present","Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households","Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households","Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households","Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households","Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder","Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder","Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder","Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder","Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone","Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone","Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone","Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone","Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone","Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone","Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone","Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone","Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder","Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder","Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder","Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder","Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone","Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone","Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone","Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone","Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone","Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone","Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone","Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone","Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months","Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months","Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months","Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months","Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months","Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months","Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months","Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months","Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months","Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months","Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months","Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months"
"2","1400000US27003050107","27003050107","Census Tract 501.07, Anoka County, Minnesota","1031","69","76406","8536","98.3","2.0","76969","8837","0.7","1.0","-","**","0.0","1.7","-","**","0.0","1.7","-","**","0.0","1.7","-","**","0.0","1.7","-","**","1.1","1.8","-","**","0.0","1.7","-","**","98.3","2.0","76969","8837","1.6","1.9","-","**","44.5","4.7","78221","17787","39.6","4.0","84500","11415","14.4","3.6","35156","4058","740","65","77794","8370","50.3","5.7","76944","18376","49.7","5.7","78833","14781","76.9","8.8","80417","9101","17.4","8.5","57321","44632","5.7","4.7","53750","34355","291","75","46719","15777","43.0","13.6","(X)","(X)","27.1","12.0","(X)","(X)","15.8","9.4","(X)","(X)","57.0","13.6","(X)","(X)","31.6","12.8","(X)","(X)","25.4","11.9","(X)","(X)","21.5","(X)","(X)","(X)","22.6","(X)","(X)","(X)","18.9","(X)","(X)","(X)"
"3","1400000US27003050108","27003050108","Census Tract 501.08, Anoka County, Minnesota","1688","84","65313","10657","95.9","3.2","66328","11706","0.1","0.1","-","**","0.7","1.1","-","**","1.0","1.1","-","**","0.0","1.0","-","**","0.0","1.0","-","**","2.4","2.8","-","**","0.1","0.2","-","**","95.7","3.2","66250","11683","4.5","3.0","48875","12717","42.7","4.6","80338","9898","40.8","4.6","64750","25076","12.1","3.2","47344","11206","1299","96","73125","12675","43.3","6.1","76075","10244","56.7","6.1","65500","13857","76.8","6.1","(X)","(X)","15.8","5.0","(X)","(X)","7.5","3.9","(X)","(X)","389","96","50208","7552","41.6","12.8","(X)","(X)","30.1","13.0","(X)","(X)","11.6","8.2","(X)","(X)","58.4","12.8","(X)","(X)","40.4","13.2","(X)","(X)","18.0","9.6","(X)","(X)","29.6","(X)","(X)","(X)","29.9","(X)","(X)","(X)","26.5","(X)","(X)","(X)"
"4","1400000US27003050109","27003050109","Census Tract 501.09, Anoka County, Minnesota","1777","71","94821","13199","96.9","2.6","95357","12352","0.0","1.0","-","**","1.1","1.3","-","**","0.0","1.0","-","**","0.0","1.0","-","**","0.0","1.0","-","**","2.0","2.1","(X)","(X)","0.8","1.3","-","**","96.9","2.6","95357","12352","0.7","1.1","-","**","37.8","4.6","92443","11282","50.9","4.5","101739","5568","10.7","2.2","48281","11490","1467","82","100114","7118","39.7","6.8","98043","15446","60.3","6.8","101385","7437","85.3","5.0","(X)","(X)","6.3","4.2","(X)","(X)","8.5","4.5","(X)","(X)","310","96","51000","15265","41.0","15.2","49306","43209","21.3","12.7","38000","25309","19.7","11.5","102604","26391","59.0","15.2","51313","31130","42.9","17.7","40536","34017","16.1","15.9","63643","14285","18.6","(X)","(X)","(X)","17.0","(X)","(X)","(X)","25.8","(X)","(X)","(X)"
"5","1400000US27003050110","27003050110","Census Tract 501.10, Anoka County, Minnesota","969","51","81761","7414","99.4","1.0","81420","7277","0.0","1.8","-","**","0.0","1.8","-","**","0.0","1.8","-","**","0.0","1.8","-","**","0.0","1.8","-","**","0.6","1.0","-","**","0.0","1.8","-","**","99.4","1.0","81420","7277","1.0","1.1","-","**","26.8","4.3","81389","23120","59.8","5.5","87750","7949","12.4","4.1","47500","25992","726","64","92014","13886","37.5","6.9","94000","20966","62.5","6.9","91667","14204","81.4","7.1","(X)","(X)","12.7","6.3","(X)","(X)","5.9","3.9","(X)","(X)","243","58","44688","8544","38.3","13.3","(X)","(X)","30.5","12.7","(X)","(X)","7.8","6.8","(X)","(X)","61.7","13.3","(X)","(X)","50.2","13.7","(X)","(X)","11.5","7.4","(X)","(X)","29.8","(X)","(X)","(X)","23.8","(X)","(X)","(X)","43.2","(X)","(X)","(X)"
"6","1400000US27003050111","27003050111","Census Tract 501.11, Anoka County, Minnesota","1383","73","82847","11812","100.0","1.3","82847","11812","0.0","1.3","-","**","0.0","1.3","-","**","0.0","1.3","-","**","0.0","1.3","-","**","0.0","1.3","-","**","0.0","1.3","-","**","0.0","1.3","-","**","100.0","1.3","82847","11812","2.0","3.1","-","**","33.6","4.3","87969","34910","47.2","4.8","100724","16685","17.1","2.4","56528","24348","1084","86","99643","13130","45.1","5.0","98304","14690","54.9","5.0","102344","31555","88.3","6.1","107917","10400","7.6","5.0","27339","7244","4.2","3.2","53487","4306","299","88","53854","11446","32.8","13.4","(X)","(X)","26.1","13.2","(X)","(X)","6.7","6.8","(X)","(X)","67.2","13.4","(X)","(X)","37.1","16.3","(X)","(X)","30.1","17.6","(X)","(X)","34.1","(X)","(X)","(X)","30.0","(X)","(X)","(X)","45.2","(X)","(X)","(X)"
"7","1400000US27003050114","27003050114","Census Tract 501.14, Anoka County, Minnesota","1009","79","82292","13521","98.3","1.6","83333","13811","0.6","0.9","-","**","0.0","1.7","-","**","0.7","1.0","-","**","0.0","1.7","-","**","0.0","1.7","-","**","0.4","0.5","-","**","0.6","1.0","-","**","97.7","1.9","82708","13661","0.0","1.7","-","**","25.8","3.8","79808","22722","50.8","4.4","100481","12975","23.4","3.6","42500","9508","776","75","96667","7204","35.2","5.2","97344","9044","64.8","5.2","96250","14357","94.3","3.3","(X)","(X)","4.1","2.8","(X)","(X)","1.5","1.7","(X)","(X)","233","64","41528","20725","27.9","11.0","(X)","(X)","19.3","10.6","(X)","(X)","8.6","6.7","(X)","(X)","72.1","11.0","(X)","(X)","63.5","12.7","(X)","(X)","8.6","11.5","(X)","(X)","27.8","(X)","(X)","(X)","26.3","(X)","(X)","(X)","30.0","(X)","(X)","(X)"
"8","1400000US27003050115","27003050115","Census Tract 501.15, Anoka County, Minnesota","1766","132","90208","12789","94.8","3.5","89500","12218","0.4","0.7","-","**","0.0","1.0","-","**","2.9","1.7","110096","92995","0.0","1.0","-","**","1.5","2.3","-","**","0.4","0.6","-","**","2.4","2.4","183796","41957","94.3","3.6","89000","12518","0.0","1.0","-","**","32.8","4.0","106821","9142","51.9","3.6","94034","7593","15.3","3.1","64821","16905","1444","84","95919","5194","42.4","5.5","107639","14131","57.6","5.5","91071","11913","92.0","3.5","98188","10305","6.9","3.1","55208","18668","1.1","1.3","-","**","322","89","57717","9866","29.5","13.6","(X)","(X)","15.8","11.4","(X)","(X)","13.7","9.3","(X)","(X)","70.5","13.6","(X)","(X)","53.4","14.8","(X)","(X)","17.1","9.3","(X)","(X)","28.9","(X)","(X)","(X)","28.9","(X)","(X)","(X)","25.5","(X)","(X)","(X)"
"9","1400000US27003050116","27003050116","Census Tract 501.16, Anoka County, Minnesota","1510","79","85455","7157","98.3","2.0","85990","8169","0.0","1.2","-","**","1.1","1.8","-","**","0.0","1.2","-","**","0.0","1.2","-","**","0.0","1.2","-","**","0.6","1.0","-","**","0.6","0.9","-","**","97.7","2.1","86458","8318","0.9","1.2","-","**","26.2","4.8","111908","12997","57.5","4.8","84597","10326","15.5","3.1","37988","4848","1189","72","95875","9191","51.4","6.7","108750","14035","48.6","6.7","79091","15299","92.8","3.7","(X)","(X)","5.6","3.3","(X)","(X)","1.7","1.8","(X)","(X)","321","95","38563","8299","39.9","12.0","(X)","(X)","32.4","10.4","(X)","(X)","7.5","6.6","(X)","(X)","60.1","12.0","(X)","(X)","45.8","13.4","(X)","(X)","14.3","9.8","(X)","(X)","29.7","(X)","(X)","(X)","27.1","(X)","(X)","(X)","35.2","(X)","(X)","(X)"
"10","1400000US27003050208","27003050208","Census Tract 502.08, Anoka County, Minnesota","1112","33","88306","5066","95.4","3.5","88678","6133","2.2","2.4","89750","59925","0.9","1.2","-","**","0.0","1.6","-","**","0.0","1.6","-","**","0.0","1.6","-","**","1.5","2.4","-","**","1.1","1.7","-","**","94.3","3.8","88966","6274","1.1","1.7","-","**","37.6","7.2","86875","16724","47.7","7.1","112750","36108","13.7","2.8","40643","23380","834","87","93261","15129","49.6","6.4","99375","21839","50.4","6.4","88534","19940","80.1","5.6","(X)","(X)","11.8","4.4","(X)","(X)","8.2","5.2","(X)","(X)","278","84","47778","23255","51.1","19.0","55592","21259","29.5","16.3","36389","24116","21.6","19.2","56974","55623","48.9","19.0","36538","20969","41.4","16.4","34432","11935","7.6","8.7","-","**","21.0","(X)","(X)","(X)","20.7","(X)","(X)","(X)","15.5","(X)","(X)","(X)"
