"","dtDate","Schedule","Route","RouteType","SumOfTrips","Local_Non_Rush","Local_Rush","Express_Non_Rush","Express_Rush","Total_Riders","Date","Price"
"1",2014-01-06 06:00:00,"Weekday",2,"Urb Loc",134,1792,800,0,0,2592,2014-01-06,3.23
"2",2014-01-06 06:00:00,"Weekday",3,"Urb Loc",206,1260,1391,2,0,2653,2014-01-06,3.23
"3",2014-01-06 06:00:00,"Weekday",4,"Urb Loc",182,1358,1343,1,0,2702,2014-01-06,3.23
"4",2014-01-06 06:00:00,"Weekday",5,"Urb Loc",264,5019,3049,3,0,8071,2014-01-06,3.23
"5",2014-01-06 06:00:00,"Weekday",6,"Urb Loc",222,1599,1767,0,0,3366,2014-01-06,3.23
"6",2014-01-06 06:00:00,"Weekday",7,"Urb Loc",79,487,458,0,0,945,2014-01-06,3.23
"7",2014-01-06 06:00:00,"Weekday",8,"Urb Loc",50,30,36,0,0,66,2014-01-06,3.23
"8",2014-01-06 06:00:00,"Weekday",9,"Urb Loc",92,733,822,0,0,1555,2014-01-06,3.23
"9",2014-01-06 06:00:00,"Weekday",10,"Urb Loc",194,2436,1466,0,0,3902,2014-01-06,3.23
"10",2014-01-06 06:00:00,"Weekday",11,"Urb Loc",99,995,995,0,0,1990,2014-01-06,3.23
"11",2014-01-06 06:00:00,"Weekday",12,"Urb Loc",86,384,618,9,0,1011,2014-01-06,3.23
"12",2014-01-06 06:00:00,"Weekday",14,"Urb Loc",137,1391,1206,0,2,2599,2014-01-06,3.23
"13",2014-01-06 06:00:00,"Weekday",16,"Urb Loc",220,2857,1704,1,3,4565,2014-01-06,3.23
"14",2014-01-06 06:00:00,"Weekday",17,"Urb Loc",158,1496,1792,0,0,3288,2014-01-06,3.23
"15",2014-01-06 06:00:00,"Weekday",18,"Urb Loc",273,2920,2066,0,0,4986,2014-01-06,3.23
"16",2014-01-06 06:00:00,"Weekday",19,"Urb Loc",211,1415,1101,0,0,2516,2014-01-06,3.23
"17",2014-01-06 06:00:00,"Weekday",20,"Urb Loc",10,4,64,0,0,68,2014-01-06,3.23
